Vehicle Make,Vehicle Model,Vehicle Model Year,MPG
TESLA,3,2025,95
PRECISION,3 SEATER,2017,10
IC,3000 SERIES,2013,12
BMW,5 S,2024,25
COASTER,5 SEATER,2011,23
BMW,530E,2019,27
BMW,530I,2023,27
BMW,530I,2019,27
BMW,530I,2022,28
BMW,530I,2024,28
BMW,530IX,2021,24
BMW,530XI,2018,23
BMW,530XI,2023,24
BMW,530XI,2024,28
BMW,540I,2021,27
PRECISION,6 SEATER,2016,14
PRECISION,6 SEATER,2018,14
PRECISION,6 SEATER,2020,14
MAZDA,6 TOURING PLUS,2016,28
BMW,740 I,2020,24
BMW,740 I,2022,25
BMW,740 I,2021,25
BMW,740 I,2024,25
BMW,740 I,2019,25
BMW,750 I,2021,19
BMW,750 I,2020,20
BMW,750 I,2022,21
BMW,750 I,2019,22
BMW,750 I,2023,23
FORD,750LI,2011,11
BMW,750LI,2023,25
FORD,750XI,2011,12
BMW,750XI,2017,21
BMW,760I,2024,22
AUDI,A6,2021,26
AUDI,A6,2022,26
AUDI,A6,2017,26
AUDI,A6,2020,26
AUDI,A6,2019,28
AUDI,A8,2019,20
AUDI,A8,2021,21
AUDI,A8,2023,21
AUDI,A8,2022,21
AUDI,A8 L,2022,21
GMC,ACADIA,2024,19
HONDA,ACCORD,2017,26
HONDA,ACCORD,2020,26
HONDA,ACCORD,2012,26
HONDA,ACCORD,2023,26
HONDA,ACCORD,2024,26
LUCID,AIR PURE,2025,111
LUCID,AIR TOURING,2023,101
NISSAN,ALTIMA,2015,17
NISSAN,ALTIMA,2011,24
NISSAN,ALTIMA,2010,27
NISSAN,ALTIMA,2014,27
NISSAN,ALTIMA,2013,27
NISSAN,ALTIMA,2016,27
NISSAN,ALTIMA,2012,27
NISSAN,ALTIMA,2025,28
NISSAN,ALTIMA,2017,31
FORD,AMBULANCE,2012,12
DODGE,AMBULANCE,2016,14
FORD,AMBULANCE,2001,14
FORD,AMBULANCE,2006,14
FORD,AMBULANCE,1999,14
VOLKSWAGEN,ATLAS,2020,25
CHEVROLET,AVALANCHE K1500 LT,2011,15
TOYOTA,AVALON,2016,25
TOYOTA,AVALON,2014,28
LAND ROVER,AVIATOR,2023,18
LINCOLN,AVIATOR,2022,18
LINCOLN,AVIATOR,2023,18
LINCOLN,AVIATOR,2025,18
LINCOLN,AVIATOR,2021,18
LINCOLN,AVIATOR,2024,18
LINCOLN,AVIATOR,2017,18
LINCOLN,AVIATOR,2020,18
LINCOLN,AVIATOR,2026,18
MERCEDES,BENZ,2011,18
MERCEDES,BENZ,2019,19
MERCEDES,BENZ,2013,19
MERCEDES,BENZ,2020,19
MERCEDES,BENZ,2022,19
MERCEDES,BENZ,2023,19
MERCEDES,BENZ,2015,19
MERCEDES,BENZ,2014,19
MERCEDES,BENZ,2018,19
MERCEDES,BENZ,2021,19
MERCEDES,BENZ,2017,19
CHEVROLET,BRAUN,2008,12
TOYOTA,BZ4X,2023,115
